roster,name,confidence,proposed_roles,parent_if_any,primary_source_url,review_note
oems-integrators-operators.csv,Robot Era,MEDIUM,OEM,,https://www.robotera.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,DENSO Robotics,MEDIUM,COMPONENT_SUPPLIER|OEM,DENSO Corporation,https://www.densorobotics.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Staubli Robotics,MEDIUM,COMPONENT_SUPPLIER|OEM,Staubli Group,https://www.staubli.com/global/en/robotics.html,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Amazon Prime Air,MEDIUM,OEM|OPERATOR,Amazon,https://www.aboutamazon.com/news/transportation/amazon-prime-air-drone-delivery,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,UPS Flight Forward,MEDIUM,OPERATOR,UPS,https://about.ups.com/us/en/our-company/innovation-driven/ups-flight-forward.html,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Helsing,MEDIUM,COMPONENT_SUPPLIER|OEM,,https://helsing.ai/,"Primary URL reviewed; retrieval failed or returned HTTP 429. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,MARTAC,MEDIUM,OEM,,https://martacsystems.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Leidos,MEDIUM,INTEGRATOR|OEM,,https://www.leidos.com/insights/sea-hunter-autonomous-unmanned-vessel,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,QinetiQ,MEDIUM,OEM,,https://www.qinetiq.com/en-us/capabilities/robotics-and-autonomous-systems,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Rheinmetall,MEDIUM,OEM,,https://www.rheinmetall.com/en/products/uncrewed-vehicles,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Monarch Tractor,MEDIUM,OEM,,https://www.monarchtractor.com/,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Burro,MEDIUM,OEM,,https://burro.ai/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Stryker,MEDIUM,OEM,,https://www.stryker.com/us/en/joint-replacement/systems/mako-smartrobotics.html,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Johnson & Johnson MedTech,MEDIUM,OEM,Johnson & Johnson,https://www.jnjmedtech.com/en-US/robotics,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,CMR Surgical,MEDIUM,OEM,,https://cmrsurgical.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Vicarious Surgical,MEDIUM,OEM,,https://www.vicarioussurgical.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,PROCEPT BioRobotics,MEDIUM,OEM,,https://www.procept-biorobotics.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Canvas,MEDIUM,OEM|OPERATOR,,https://www.canvas.build/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,SafeAI,MEDIUM,COMPONENT_SUPPLIER,,https://www.safeai.ai/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Ocean Infinity,MEDIUM,OEM|OPERATOR,,https://oceaninfinity.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
oems-integrators-operators.csv,Palladyne AI,MEDIUM,COMPONENT_SUPPLIER,,https://www.palladyneai.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Laifual Drive,MEDIUM,COMPONENT_SUPPLIER,,https://www.laifualgroup.com/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Nidec-Shimpo,MEDIUM,COMPONENT_SUPPLIER,Nidec,https://www.nidec.com/en/nidec-drivetechnology/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Guomao Group,MEDIUM,COMPONENT_SUPPLIER,,https://www.guomaogroup.com/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Allient (Allied Motion Technologies),MEDIUM,COMPONENT_SUPPLIER,,https://www.allient.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Moog,MEDIUM,COMPONENT_SUPPLIER,,https://www.moog.com/markets/industrial/robotics.html,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Sanhua Intelligent Controls,MEDIUM,COMPONENT_SUPPLIER,,https://www.sanhua.com/en/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Tuopu Group,MEDIUM,COMPONENT_SUPPLIER,,https://www.tuopu.com/en/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,T-Motor (Nanchang Sanrui),MEDIUM,COMPONENT_SUPPLIER,,https://www.tmotor.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Elmo Motion Control,MEDIUM,COMPONENT_SUPPLIER,,https://www.elmomc.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Broadcom,MEDIUM,CHIPMAKER|COMPONENT_SUPPLIER,,https://www.broadcom.com/products/motion-control-encoders,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,THK,MEDIUM,COMPONENT_SUPPLIER,,https://www.thk.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,SKF,MEDIUM,COMPONENT_SUPPLIER,,https://www.skf.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,CATL,MEDIUM,COMPONENT_SUPPLIER,,https://www.catl.com/en/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,EVE Energy,MEDIUM,COMPONENT_SUPPLIER,,https://www.evebattery.com/en,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,LG Energy Solution,MEDIUM,COMPONENT_SUPPLIER,LG Group,https://www.lgensol.com/en/,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Samsung SDI,MEDIUM,COMPONENT_SUPPLIER,Samsung Group,https://www.samsungsdi.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,SK On,MEDIUM,COMPONENT_SUPPLIER,SK Group,https://www.sk-on.com/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Panasonic Energy,MEDIUM,COMPONENT_SUPPLIER,Panasonic,https://www.panasonic.com/global/energy.html,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Molicel (E-One Moli Energy),MEDIUM,COMPONENT_SUPPLIER,Taiwan Cement,https://www.molicel.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Sunwoda,MEDIUM,COMPONENT_SUPPLIER,,https://www.sunwoda.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Murata,MEDIUM,COMPONENT_SUPPLIER,,https://www.murata.com/en-global/applications/industrial/robot,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Innoviz Technologies,MEDIUM,COMPONENT_SUPPLIER,,https://innoviz.tech/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,SICK AG,MEDIUM,COMPONENT_SUPPLIER,,https://www.sick.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Leica Geosystems,MEDIUM,COMPONENT_SUPPLIER,Hexagon,https://leica-geosystems.com/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Cognex,MEDIUM,COMPONENT_SUPPLIER,,https://www.cognex.com/,"Primary URL reviewed; retrieval failed or returned HTTP 429. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Keyence,MEDIUM,COMPONENT_SUPPLIER,,https://www.keyence.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Datalogic,MEDIUM,COMPONENT_SUPPLIER,,https://www.datalogic.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Pilz,MEDIUM,COMPONENT_SUPPLIER,,https://www.pilz.com/en-INT/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Robotous,MEDIUM,COMPONENT_SUPPLIER,,https://www.robotous.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Kistler,MEDIUM,COMPONENT_SUPPLIER,,https://www.kistler.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Touchence,MEDIUM,COMPONENT_SUPPLIER,,https://www.touchence.jp/en/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Analog Devices,MEDIUM,CHIPMAKER|COMPONENT_SUPPLIER,,https://www.analog.com/en/solutions/industrial-and-building-automation/robotics.html,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Horizon Robotics,MEDIUM,CHIPMAKER|COMPONENT_SUPPLIER,,https://en.horizon.auto/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Sony Semiconductor Solutions,MEDIUM,COMPONENT_SUPPLIER,,https://www.sony-semicon.com/en/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Quanta Computer,MEDIUM,CONTRACT_MANUFACTURER,,https://www.quantatw.com/Quanta/english/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Luxshare Precision,MEDIUM,CONTRACT_MANUFACTURER,,https://www.luxshare-ict.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
suppliers-chips-manufacturing.csv,Hexagon,MEDIUM,COMPONENT_SUPPLIER,,https://hexagon.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Labelbox,MEDIUM,DATA_SIMULATION_PROVIDER,,https://labelbox.com/solutions/robotics/,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,XDOF,MEDIUM,DATA_SIMULATION_PROVIDER,,https://www.xdof.ai/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Rendered.ai,MEDIUM,DATA_SIMULATION_PROVIDER,,https://rendered.ai/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,dSPACE,MEDIUM,DATA_SIMULATION_PROVIDER,,https://www.dspace.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Vector Informatik,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.vector.com/,"Primary URL reviewed; retrieval failed or returned HTTP 406. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Altair Engineering,MEDIUM,DATA_SIMULATION_PROVIDER,Siemens,https://news.siemens.com/en-us/altair-hyperworks-2026/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Cognicept Systems,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.cognicept.com/,"Primary URL reviewed; retrieval failed or returned HTTP 410. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Freedom Robotics,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.freedomrobotics.ai/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Rapyuta Robotics,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.rapyuta-robotics.com/,"Primary URL reviewed; retrieval failed or returned HTTP 403. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Airbotics,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.airbotics.io/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,Deeplite,MEDIUM,TOOLING_OPS_PROVIDER,,https://www.deeplite.ai/,"Primary URL reviewed; retrieval failed or returned HTTP None. Further primary product, portfolio or corporate evidence is needed."
infrastructure-data-sim-ops.csv,drag&bot,MEDIUM,TOOLING_OPS_PROVIDER,KEBA,https://www.dragandbot.com/,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
