name,seed_slug,roles,hq_place,founding_year,verified_tickers,review_note
Basler,basler,COMPONENT_SUPPLIER,Ahrensburg,,,Independent confirmation of provisional HQ; Founding year missing
Bear Robotics,bear-robotics,OEM,Redwood City,2017,,Independent confirmation of provisional HQ
Bedrock Ocean,bedrock-ocean,OEM|OPERATOR,Brooklyn,,,Independent confirmation of provisional HQ; Founding year missing
Beijing Humanoid Robot Innovation Center (X-Humanoid),beijing-humanoid-robot-innovation-center-x-humanoid,DATA_SIMULATION_PROVIDER|MODEL_DEVELOPER|OEM|RESEARCH_LAB,Beijing,,,Independent confirmation of provisional HQ; Founding year missing
Beijing Institute for General Artificial Intelligence (BIGAI),beijing-institute-for-general-artificial-intelligence-bigai,RESEARCH_LAB,Beijing,2020,,Independent confirmation of provisional HQ
Berkeley Artificial Intelligence Research (BAIR),berkeley-artificial-intelligence-research-bair,RESEARCH_LAB,Berkeley,,,Independent confirmation of provisional HQ; Founding year missing
Berkshire Grey,berkshire-grey,OEM,Bedford,,,Independent confirmation of provisional HQ; Founding year missing
Bezos Expeditions,bezos-expeditions,INVESTOR,Seattle,,,Independent confirmation of provisional HQ; Founding year missing
BHP,bhp,INVESTOR,,,,HQ place missing; Founding year missing
BHP Ventures,bhp-ventures,INVESTOR,Melbourne,,,Independent confirmation of provisional HQ; Founding year missing
Bifrost,bifrost,DATA_SIMULATION_PROVIDER,Singapore,,,Independent confirmation of provisional HQ; Founding year missing
BitRobot Network,bitrobot-network,DATA_SIMULATION_PROVIDER,Singapore,,,Independent confirmation of provisional HQ; Founding year missing
Black Sesame Technologies,black-sesame-technologies,CHIPMAKER|COMPONENT_SUPPLIER,Wuhan,,,Independent confirmation of provisional HQ; Founding year missing
BladeBUG,bladebug,OEM,London,,,Founding year missing
Blue Robotics,blue-robotics,COMPONENT_SUPPLIER|OEM,Torrance,,,Founding year missing
BMW Group,bmw,OPERATOR,Munich,,,Founding year missing
Booster Robotics,booster-robotics,OEM,Beijing,2023,,Independent confirmation of provisional HQ
Bosch Rexroth,bosch-rexroth,COMPONENT_SUPPLIER,Lohr am Main,2001,,Independent confirmation of provisional HQ
Bosch Sensortec,bosch-sensortec,CHIPMAKER|COMPONENT_SUPPLIER,Reutlingen,2005,,Independent confirmation of provisional HQ
Bota Systems,bota-systems,COMPONENT_SUPPLIER,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
Bpifrance,bpifrance,INVESTOR,Paris,,,Independent confirmation of provisional HQ; Founding year missing
Brookfield Asset Management,brookfield-asset-management,INVESTOR,Toronto,,,Independent confirmation of provisional HQ; Founding year missing
BYD,byd,PLATFORM,Shenzhen,1995,,Independent confirmation of provisional HQ
BYD Electronics,byd-electronics,CONTRACT_MANUFACTURER,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
ByteDance,bytedance,MODEL_DEVELOPER|RESEARCH_LAB,Beijing,,,Founding year missing
Canaan Partners,canaan-partners,INVESTOR,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
CapitalG,capitalg,INVESTOR,Mountain View,,,Independent confirmation of provisional HQ; Founding year missing
Carnegie Mellon Robotics Institute,carnegie-mellon-robotics-institute,RESEARCH_LAB,Pittsburgh,1979,,Independent confirmation of provisional HQ
Carnegie Mellon University,carnegie-mellon-university,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Cartken,cartken,OEM,Oakland,,,Independent confirmation of provisional HQ; Founding year missing
Civ Robotics,civ-robotics,OEM,Oakland,,,Independent confirmation of provisional HQ; Founding year missing
Cognata,cognata,DATA_SIMULATION_PROVIDER,Rehovot,,,Independent confirmation of provisional HQ; Founding year missing
Comau,comau,OEM,Turin,,,Independent confirmation of provisional HQ; Founding year missing
Connect Tech,connect-tech,COMPONENT_SUPPLIER,Guelph,,,Independent confirmation of provisional HQ; Founding year missing
Contactile,contactile,COMPONENT_SUPPLIER,Sydney,,,Independent confirmation of provisional HQ; Founding year missing
Copley Controls,copley-controls,COMPONENT_SUPPLIER,Canton,,,Independent confirmation of provisional HQ; Founding year missing
Coppelia Robotics,coppelia-robotics,DATA_SIMULATION_PROVIDER,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
Covariant,covariant,MODEL_DEVELOPER,Emeryville,2017,,Independent confirmation of provisional HQ
CRV,crv,INVESTOR,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
CubeMars,cubemars,COMPONENT_SUPPLIER,Nanchang,,,Independent confirmation of provisional HQ; Founding year missing
Cyberbotics,cyberbotics,DATA_SIMULATION_PROVIDER,Lausanne,,,Independent confirmation of provisional HQ; Founding year missing
Cyngn,cyngn,OEM|TOOLING_OPS_PROVIDER,Menlo Park,,,Independent confirmation of provisional HQ; Founding year missing
Daimler Truck,daimler-truck,PLATFORM,,,,HQ place missing; Founding year missing
DCVC,dcvc,INVESTOR,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
Decart,decart,DATA_SIMULATION_PROVIDER|MODEL_DEVELOPER,Tel Aviv,,,Independent confirmation of provisional HQ; Founding year missing
Deep Robotics,deep-robotics,OEM,Hangzhou,,,Founding year missing
Deepen AI,deepen-ai,DATA_SIMULATION_PROVIDER,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
Delft University of Technology,delft-university-of-technology,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Dematic,dematic,INTEGRATOR,Atlanta,,,Founding year missing
Denso Wave,denso-wave,OEM,Aichi,1976,,Independent confirmation of provisional HQ
Dexterity,dexterity,OEM,Redwood City,,,Independent confirmation of provisional HQ; Founding year missing
DHL Group,dhl-group,OPERATOR,,,,HQ place missing; Founding year missing
DHL Supply Chain,dhl-supply-chain,OPERATOR,Bonn,,,Independent confirmation of provisional HQ; Founding year missing
Doosan Robotics,doosan-robotics,OEM,Suwon,,,Founding year missing
Draganfly,draganfly,OEM,Saskatoon,,,Independent confirmation of provisional HQ; Founding year missing
Dreame Technology,dreame-technology,OEM,Suzhou,2017,,Independent confirmation of provisional HQ
DroneDeploy,dronedeploy,TOOLING_OPS_PROVIDER,San Francisco,,,Founding year missing
DroneUp,droneup,TOOLING_OPS_PROVIDER,Virginia Beach,,,Independent confirmation of provisional HQ; Founding year missing
Dyna Robotics,dyna-robotics,MODEL_DEVELOPER|OEM,San Mateo,2024,,Independent confirmation of provisional HQ
e-con Systems,e-con-systems,COMPONENT_SUPPLIER,Chennai,,,Independent confirmation of provisional HQ; Founding year missing
Eclipse Ventures,eclipse-ventures,INVESTOR,Palo Alto,,,Independent confirmation of provisional HQ; Founding year missing
ecoRobotix,ecorobotix,OEM,Yverdon-les-Bains,,,Independent confirmation of provisional HQ; Founding year missing
EDGE Group,edge-group,PLATFORM,,,,HQ place missing; Founding year missing
Edge Impulse,edge-impulse,TOOLING_OPS_PROVIDER,San Jose,2019,,Independent confirmation of provisional HQ
Ekso Bionics,ekso-bionics,OEM,San Rafael,2005,,Independent confirmation of provisional HQ
Encord,encord,DATA_SIMULATION_PROVIDER,London,,,Independent confirmation of provisional HQ; Founding year missing
EngineAI,engineai,OEM,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
EPFL,epfl,RESEARCH_LAB,,,,HQ place missing; Founding year missing
EPFL Biorobotics Laboratory,epfl-biorobotics-laboratory,RESEARCH_LAB,Lausanne,,,Independent confirmation of provisional HQ; Founding year missing
EPFL Laboratory of Intelligent Systems,epfl-laboratory-of-intelligent-systems,RESEARCH_LAB,Lausanne,,,Independent confirmation of provisional HQ; Founding year missing
Epson Robots,epson-robots,OEM,Suwa,,,Independent confirmation of provisional HQ; Founding year missing
ETH Zurich,eth-zurich,RESEARCH_LAB,,,,HQ place missing; Founding year missing
ETH Zurich Autonomous Systems Lab,eth-zurich-autonomous-systems-lab,RESEARCH_LAB,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
ETH Zurich Robotic Systems Lab,eth-zurich-robotic-systems-lab,RESEARCH_LAB,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
Ewellix,ewellix,COMPONENT_SUPPLIER,Gothenburg,,,Independent confirmation of provisional HQ; Founding year missing
farm-ng,farm-ng,OEM,Watsonville,,,Independent confirmation of provisional HQ; Founding year missing
FarmDroid,farmdroid,OEM,Vejen,,,Independent confirmation of provisional HQ; Founding year missing
FieldAI,fieldai,MODEL_DEVELOPER,Irvine,,,Founding year missing
First Round Capital,first-round-capital,INVESTOR,San Francisco,2004,,Independent confirmation of provisional HQ
Flex,flex,CONTRACT_MANUFACTURER|OPERATOR,Austin,,NASDAQ:FLEX,Founding year missing
Flyability,flyability,OEM,Lausanne,,,Founding year missing
FlytBase,flytbase,TOOLING_OPS_PROVIDER,Pune,2017,,Independent confirmation of provisional HQ
Flytrex,flytrex,OEM|OPERATOR,Tel Aviv,,,Independent confirmation of provisional HQ; Founding year missing
Foretellix,foretellix,DATA_SIMULATION_PROVIDER,Modi'in,,,Independent confirmation of provisional HQ; Founding year missing
Formant,formant,TOOLING_OPS_PROVIDER,San Francisco,2017,,Independent confirmation of provisional HQ
Fox Robotics,fox-robotics,OEM,Austin,,,Founding year missing
Foxglove,foxglove,TOOLING_OPS_PROVIDER,San Francisco,2021,,Independent confirmation of provisional HQ
FRAMOS,framos,COMPONENT_SUPPLIER,Taufkirchen,,,Independent confirmation of provisional HQ; Founding year missing
FUTEK Advanced Sensor Technology,futek-advanced-sensor-technology,COMPONENT_SUPPLIER,Irvine,,,Independent confirmation of provisional HQ; Founding year missing
Galbot,galbot,OEM|OPERATOR,Beijing,,,Founding year missing
GAM Enterprises,gam-enterprises,COMPONENT_SUPPLIER,Mount Prospect,,,Independent confirmation of provisional HQ; Founding year missing
Gates Frontier,gates-frontier,INVESTOR,Kirkland,,,Independent confirmation of provisional HQ; Founding year missing
Gatik,gatik,OEM|OPERATOR,San Francisco Bay Area,,,Founding year missing
Gecko Robotics,gecko-robotics,OEM,Pittsburgh,,,Independent confirmation of provisional HQ; Founding year missing
GelSight,gelsight,COMPONENT_SUPPLIER,Waltham,,,Independent confirmation of provisional HQ; Founding year missing
Genesis AI,genesis-ai,MODEL_DEVELOPER|RESEARCH_LAB,Palo Alto,,,Independent confirmation of provisional HQ; Founding year missing
Geodis,geodis,OPERATOR,Levallois-Perret,,,Founding year missing
Georgia Institute of Technology,georgia-institute-of-technology,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Ghost Robotics,ghost-robotics,OEM,,,,HQ place missing; Founding year missing
GRASP Laboratory,grasp-laboratory,RESEARCH_LAB,Philadelphia,1979,,Independent confirmation of provisional HQ
GUSS Automation,guss-automation,OEM,Kingsburg,,,Founding year missing
GXO Logistics,gxo,OPERATOR,,,,HQ place missing; Founding year missing
HAI Robotics,hai-robotics,OEM,Shenzhen,2016,,Independent confirmation of provisional HQ
Hailo,hailo,CHIPMAKER|COMPONENT_SUPPLIER,Tel Aviv,,,Independent confirmation of provisional HQ; Founding year missing
Hanwha Robotics,hanwha-robotics,OEM,Seoul,2023,,Independent confirmation of provisional HQ
HavocAI,havocai,OEM|TOOLING_OPS_PROVIDER,San Diego,,,Independent confirmation of provisional HQ; Founding year missing
HD Hyundai,hd-hyundai,PLATFORM,Seongnam,,,Independent confirmation of provisional HQ; Founding year missing
HD Hyundai Robotics,hd-hyundai-robotics,OEM,Daegu,,,Founding year missing
Heidenhain,heidenhain,COMPONENT_SUPPLIER,Traunreut,,,Founding year missing
Hello Robot,hello-robot,OEM,Martinez,2017,,Independent confirmation of provisional HQ
Honeywell,honeywell,COMPONENT_SUPPLIER|INTEGRATOR,Charlotte,,,Independent confirmation of provisional HQ; Founding year missing
Honeywell Intelligrated,honeywell-intelligrated,INTEGRATOR,Mason,,,Independent confirmation of provisional HQ; Founding year missing
HongShan (HSG),hongshan-hsg,INVESTOR,Hong Kong,,,Independent confirmation of provisional HQ; Founding year missing
Hugging Face,hugging-face,DATA_SIMULATION_PROVIDER|TOOLING_OPS_PROVIDER,New York City,,,Independent confirmation of provisional HQ; Founding year missing
Humanoid,humanoid,OEM,London,,,Independent confirmation of provisional HQ; Founding year missing
HV Capital,hv-capital,INVESTOR,Munich,,,Independent confirmation of provisional HQ; Founding year missing
Hyundai Motor Company,hyundai,INVESTOR|PLATFORM,Seoul,,,Founding year missing
Hyundai Motor Group,hyundai-motor-group,PLATFORM,,,,HQ place missing; Founding year missing
idealworks,idealworks,OEM|TOOLING_OPS_PROVIDER,Munich,2020,,Independent confirmation of provisional HQ
IKO (Nippon Thompson),iko-nippon-thompson,COMPONENT_SUPPLIER,Tokyo,,,Independent confirmation of provisional HQ; Founding year missing
iMerit,imerit,DATA_SIMULATION_PROVIDER,San Jose,2012,,Independent confirmation of provisional HQ
Infineon Technologies,infineon-technologies,CHIPMAKER|COMPONENT_SUPPLIER,Neubiberg,,XETRA:IFX,Founding year missing
InOrbit,inorbit,TOOLING_OPS_PROVIDER,Mountain View,,,Independent confirmation of provisional HQ; Founding year missing
Inspire Robots,inspire-robots,COMPONENT_SUPPLIER,Beijing,,,Independent confirmation of provisional HQ; Founding year missing
Institute for Robotics and Intelligent Machines (IRIM),institute-for-robotics-and-intelligent-machines-irim,RESEARCH_LAB,Atlanta,,,Independent confirmation of provisional HQ; Founding year missing
Institute of Robotics and Intelligent Systems (IRIS),institute-of-robotics-and-intelligent-systems-iris,RESEARCH_LAB,Zurich,,,Independent confirmation of provisional HQ; Founding year missing
Intel,intel,CHIPMAKER|COMPONENT_SUPPLIER|INVESTOR,San Francisco Bay Area,,,Founding year missing
Intel Capital,intel-capital,INVESTOR,Santa Clara,1991,,Independent confirmation of provisional HQ
Intermodalics,intermodalics,INTEGRATOR|TOOLING_OPS_PROVIDER,Leuven,,,Independent confirmation of provisional HQ; Founding year missing
Intrinsic,intrinsic,INTEGRATOR|TOOLING_OPS_PROVIDER,Mountain View,2021,,Independent confirmation of provisional HQ
IPG Automotive,ipg-automotive,DATA_SIMULATION_PROVIDER,Karlsruhe,1984,,Independent confirmation of provisional HQ
Kawasaki Robotics,kawasaki-robotics,OEM,Akashi,,,Independent confirmation of provisional HQ; Founding year missing
KEENON Robotics,keenon-robotics,OEM,Shanghai,2010,,Independent confirmation of provisional HQ
Kinco Automation,kinco-automation,COMPONENT_SUPPLIER,Shenzhen,1996,,Independent confirmation of provisional HQ
KINEXON,kinexon,TOOLING_OPS_PROVIDER,Munich,,,Independent confirmation of provisional HQ; Founding year missing
KION Group,kion-group,PLATFORM,Frankfurt,2006,,Independent confirmation of provisional HQ
Kiwibot,kiwibot,OEM|OPERATOR,Miami,,,Independent confirmation of provisional HQ; Founding year missing
Kodiak Robotics,kodiak-robotics,MODEL_DEVELOPER,Mountain View,2018,,Independent confirmation of provisional HQ
Kognic,kognic,DATA_SIMULATION_PROVIDER,Gothenburg,,,Independent confirmation of provisional HQ; Founding year missing
Kollmorgen,kollmorgen,COMPONENT_SUPPLIER,Radford,,,Independent confirmation of provisional HQ; Founding year missing
Latent AI,latent-ai,TOOLING_OPS_PROVIDER,Princeton,,,Independent confirmation of provisional HQ; Founding year missing
Leader Harmonious Drive Systems (Leaderdrive),leader-harmonious-drive-systems-leaderdrive,COMPONENT_SUPPLIER,Suzhou,,,Independent confirmation of provisional HQ; Founding year missing
Leopard Imaging,leopard-imaging,COMPONENT_SUPPLIER,Fremont,,,Independent confirmation of provisional HQ; Founding year missing
LG Technology Ventures,lg-technology-ventures,INVESTOR,Menlo Park,,,Independent confirmation of provisional HQ; Founding year missing
LIG Nex1,lig-nex1,INVESTOR,,,,HQ place missing; Founding year missing
Lightwheel,lightwheel,DATA_SIMULATION_PROVIDER,Beijing,,,Independent confirmation of provisional HQ; Founding year missing
LimX Dynamics,limx-dynamics,OEM,Shenzhen,,,Founding year missing
Lingotto Investment Management,lingotto-investment-management,INVESTOR,London,,,Independent confirmation of provisional HQ; Founding year missing
Livox,livox,COMPONENT_SUPPLIER,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
Lux Capital,lux-capital,INVESTOR,New York City,2000,,Independent confirmation of provisional HQ
Macquarie Capital,macquarie-capital,INVESTOR,Sydney,,,Independent confirmation of provisional HQ; Founding year missing
Manna Drone Delivery,manna-drone-delivery,OPERATOR,Dublin,,,Independent confirmation of provisional HQ; Founding year missing
MANUS,manus,DATA_SIMULATION_PROVIDER,Geldrop,2014,,Independent confirmation of provisional HQ
maxon group,maxon,COMPONENT_SUPPLIER,Sachseln,,,Founding year missing
May Mobility,may-mobility,OPERATOR,Ann Arbor,,,Founding year missing
Mech-Mind Robotics,mech-mind-robotics,COMPONENT_SUPPLIER,Beijing,,,Independent confirmation of provisional HQ; Founding year missing
Mecka,mecka,DATA_SIMULATION_PROVIDER,Toronto,,,Independent confirmation of provisional HQ; Founding year missing
Medtronic,medtronic,OEM,Dublin,1949,NYSE:MDT,Independent confirmation of provisional HQ
Mercedes-Benz,mercedes-benz,OPERATOR,Stuttgart,,,Founding year missing
Meta,meta,MODEL_DEVELOPER|PLATFORM|RESEARCH_LAB,San Francisco Bay Area,,,Founding year missing
Micro1,micro1,DATA_SIMULATION_PROVIDER,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
Micropsi Industries,micropsi-industries,TOOLING_OPS_PROVIDER,Berlin,,,Independent confirmation of provisional HQ; Founding year missing
Microsoft,microsoft,INVESTOR|PLATFORM|RESEARCH_LAB,Redmond,,,Founding year missing
mimic robotics,mimic-robotics,MODEL_DEVELOPER|OEM,Zurich,,,Founding year missing
MIT CSAIL,mit-csail,RESEARCH_LAB,Cambridge,2003,,Independent confirmation of provisional HQ
Mitsubishi Electric Factory Automation,mitsubishi-electric-factory-automation,OEM,Tokyo,,,Independent confirmation of provisional HQ; Founding year missing
Mitsubishi Electric Research Laboratories (MERL),mitsubishi-electric-research-laboratories-merl,RESEARCH_LAB,Cambridge,,,Independent confirmation of provisional HQ; Founding year missing
Moon Surgical,moon-surgical,OEM,Paris,,,Independent confirmation of provisional HQ; Founding year missing
Munich Institute of Robotics and Machine Intelligence (MIRMI),munich-institute-of-robotics-and-machine-intelligence-mirmi,RESEARCH_LAB,Munich,,,Independent confirmation of provisional HQ; Founding year missing
Nachi-Fujikoshi,nachi-fujikoshi,OEM,Toyama,,,Independent confirmation of provisional HQ; Founding year missing
Naio Technologies,naio-technologies,OEM,Escalquens,,,Independent confirmation of provisional HQ; Founding year missing
NAiSE,naise,TOOLING_OPS_PROVIDER,Stuttgart,,,Independent confirmation of provisional HQ; Founding year missing
Narwal,narwal,OEM,Shenzhen,,,Independent confirmation of provisional HQ; Founding year missing
Nauticus Robotics,nauticus-robotics,OEM,Webster,,,Independent confirmation of provisional HQ; Founding year missing
Naver,naver,PLATFORM,Seongnam,,,Independent confirmation of provisional HQ; Founding year missing
Naver Labs,naver-labs,MODEL_DEVELOPER|RESEARCH_LAB,Seongnam,,,Independent confirmation of provisional HQ; Founding year missing
Nebius,nebius,PLATFORM,,,,HQ place missing; Founding year missing
Neros Technologies,neros-technologies,OEM,El Segundo,,,Independent confirmation of provisional HQ; Founding year missing
Neugart,neugart,COMPONENT_SUPPLIER,Kippenheim,,,Founding year missing
Neuracore,neuracore,DATA_SIMULATION_PROVIDER|TOOLING_OPS_PROVIDER,London,,,Independent confirmation of provisional HQ; Founding year missing
Nidec,nidec,COMPONENT_SUPPLIER,Kyoto,1973,TSE:6594,Independent confirmation of provisional HQ
Noah Medical,noah-medical,OEM,San Carlos,,,Independent confirmation of provisional HQ; Founding year missing
Norwegian University of Science and Technology,norwegian-university-of-science-and-technology,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Novanta,novanta,COMPONENT_SUPPLIER,Bedford,,,Independent confirmation of provisional HQ; Founding year missing
NSK,nsk,COMPONENT_SUPPLIER,Tokyo,1916,,Independent confirmation of provisional HQ
NTNU Autonomous Robots Lab,ntnu-autonomous-robots-lab,RESEARCH_LAB,Trondheim,,,Independent confirmation of provisional HQ; Founding year missing
NVentures,nventures,INVESTOR,Santa Clara,,,Independent confirmation of provisional HQ; Founding year missing
NXP Semiconductors,nxp-semiconductors,CHIPMAKER|COMPONENT_SUPPLIER,Eindhoven,,NASDAQ:NXPI,Founding year missing
Objectways,objectways,DATA_SIMULATION_PROVIDER,Cerritos,2018,,Independent confirmation of provisional HQ
Odyssey,odyssey,DATA_SIMULATION_PROVIDER|MODEL_DEVELOPER,San Francisco,,,Independent confirmation of provisional HQ; Founding year missing
OMRON Robotics and Safety Technologies,omron-robotics-and-safety-technologies,OEM,Kyoto,,,Independent confirmation of provisional HQ; Founding year missing
Ondas Holdings,ondas-holdings,OEM,Nashua,,,Independent confirmation of provisional HQ; Founding year missing
One Equity Partners,one-equity-partners,INVESTOR,,,,HQ place missing; Founding year missing
OnRobot,onrobot,COMPONENT_SUPPLIER,Odense,,,Independent confirmation of provisional HQ; Founding year missing
onsemi,onsemi,CHIPMAKER|COMPONENT_SUPPLIER,Scottsdale,,NASDAQ:ON,Founding year missing
Ontario Teachers' Pension Plan,ontario-teachers-pension-plan,INVESTOR,Toronto,,,Founding year missing
Open Robotics,open-robotics,RESEARCH_LAB,,,,HQ place missing; Founding year missing
Orbbec,orbbec,COMPONENT_SUPPLIER,Shenzhen,,,Founding year missing
OTTO Motors,otto-motors,OEM,Kitchener,,,Founding year missing
Oxford Robotics Institute,oxford-robotics-institute,RESEARCH_LAB,Oxford,,,Independent confirmation of provisional HQ; Founding year missing
Oxipital AI,oxipital-ai,TOOLING_OPS_PROVIDER,Bedford,,,Independent confirmation of provisional HQ; Founding year missing
Parallel Domain,parallel-domain,DATA_SIMULATION_PROVIDER,San Francisco,2017,,Independent confirmation of provisional HQ
Parkway Venture Capital,parkway-venture-capital,INVESTOR,New York City,,,Independent confirmation of provisional HQ; Founding year missing
Percepto,percepto,OEM|OPERATOR,Modiin,,,Founding year missing
Performance Drone Works,performance-drone-works,OEM,Huntsville,,,Independent confirmation of provisional HQ; Founding year missing
Persona AI,persona-ai,OEM,Houston,,,Independent confirmation of provisional HQ; Founding year missing
Piab,piab,COMPONENT_SUPPLIER,Taby,,,Independent confirmation of provisional HQ; Founding year missing
Pickle Robot,pickle-robot,OEM,Cambridge,,,Independent confirmation of provisional HQ; Founding year missing
PickNik Robotics,picknik-robotics,TOOLING_OPS_PROVIDER,Boulder,2015,,Independent confirmation of provisional HQ
Plus One Robotics,plus-one-robotics,OEM,San Antonio,2016,,Independent confirmation of provisional HQ
Pony.ai,pony-ai,MODEL_DEVELOPER,Guangzhou,2016,NASDAQ:PONY,Independent confirmation of provisional HQ
Qualcomm Ventures,qualcomm-ventures,INVESTOR,San Diego,2000,,Independent confirmation of provisional HQ
Quicktron,quicktron,OEM,Shanghai,,,Independent confirmation of provisional HQ; Founding year missing
Rainbow Robotics,rainbow-robotics,OEM,Daejeon,,,Independent confirmation of provisional HQ; Founding year missing
REACH Subsea,reach-subsea,OPERATOR,Haugesund,,,Independent confirmation of provisional HQ; Founding year missing
READY Robotics,ready-robotics,TOOLING_OPS_PROVIDER,Columbus,,,Independent confirmation of provisional HQ; Founding year missing
Realman Robotics,realman-robotics,COMPONENT_SUPPLIER|OEM,Beijing,,,Independent confirmation of provisional HQ; Founding year missing
Red Cat Holdings,red-cat-holdings,OEM,San Juan,2018,,Independent confirmation of provisional HQ
Renesas Electronics,renesas-electronics,CHIPMAKER|COMPONENT_SUPPLIER,Tokyo,,TSE:6723,Founding year missing
Renishaw,renishaw,COMPONENT_SUPPLIER,Wotton-under-Edge,,,Independent confirmation of provisional HQ; Founding year missing
Rerun,rerun,DATA_SIMULATION_PROVIDER|TOOLING_OPS_PROVIDER,Stockholm,,,Independent confirmation of provisional HQ; Founding year missing
Richtech Robotics,richtech-robotics,OEM,Las Vegas,,NASDAQ:RR,Founding year missing
RightHand Robotics,righthand-robotics,OEM,Somerville,2015,,Independent confirmation of provisional HQ
RLWRLD,rlwrld,MODEL_DEVELOPER,Seoul,,,Independent confirmation of provisional HQ; Founding year missing
Robert Bosch,robert-bosch,PLATFORM,Gerlingen,,,Independent confirmation of provisional HQ; Founding year missing
Robocurve,robocurve,TOOLING_OPS_PROVIDER,,,,HQ place missing; Founding year missing
RoboDK,robodk,DATA_SIMULATION_PROVIDER,Montreal,2015,,Independent confirmation of provisional HQ
Roboflow,roboflow,TOOLING_OPS_PROVIDER,Des Moines,2019,,Independent confirmation of provisional HQ
Roboteam,roboteam,OEM|TOOLING_OPS_PROVIDER,Petah Tikva,,,Independent confirmation of provisional HQ; Founding year missing
Robotics and AI Institute (RAI Institute),robotics-and-ai-institute-rai-institute,RESEARCH_LAB,Cambridge,2022,,Independent confirmation of provisional HQ
ROBOTIS,robotis,COMPONENT_SUPPLIER|OEM,Seoul,,,Independent confirmation of provisional HQ; Founding year missing
Roboto AI,roboto-ai,DATA_SIMULATION_PROVIDER|TOOLING_OPS_PROVIDER,Seattle,,,Independent confirmation of provisional HQ; Founding year missing
Robust AI,robust-ai,OEM,San Carlos,,,Independent confirmation of provisional HQ; Founding year missing
Rollvis,rollvis,COMPONENT_SUPPLIER,Geneva,1970,,Independent confirmation of provisional HQ
